market,symbol,unix,open,high,low,close,volume
USDM,BTC/USDT,1669881600000,17062.5,17083.1,17062.5,17074.7,1576.224
USDM,BTC/USDT,1669881900000,17074.7,17080.0,17056.0,17057.8,1154.726
USDM,BTC/USDT,1669882200000,17057.9,17073.2,17053.0,17071.1,1102.847
USDM,BTC/USDT,1669882500000,17071.1,17078.9,17069.6,17076.6,585.062
USDM,BTC/USDT,1669882800000,17076.5,17080.6,17069.4,17072.6,606.521
USDM,BTC/USDT,1669883100000,17072.7,17079.4,17071.1,17072.3,480.235
USDM,BTC/USDT,1669883400000,17072.3,17080.0,17072.3,17075.0,480.33
USDM,BTC/USDT,1669883700000,17075.1,17093.9,17073.4,17090.9,1115.157
USDM,BTC/USDT,1669884000000,17090.9,17102.4,17088.6,17101.0,1022.294
USDM,BTC/USDT,1669884300000,17101.1,17132.9,17096.9,17127.3,2444.477
USDM,BTC/USDT,1669884600000,17127.5,17128.7,17110.1,17118.1,887.287
USDM,BTC/USDT,1669884900000,17117.9,17117.9,17102.5,17106.6,852.168
USDM,BTC/USDT,1669885200000,17106.5,17108.3,17102.3,17102.4,563.716
USDM,BTC/USDT,1669885500000,17102.3,17103.5,17086.0,17086.5,1193.275
USDM,BTC/USDT,1669885800000,17086.6,17096.0,17086.0,17088.1,803.094
USDM,BTC/USDT,1669886100000,17088.1,17095.3,17085.9,17093.2,628.566
USDM,BTC/USDT,1669886400000,17093.3,17094.0,17086.1,17088.3,502.642
USDM,BTC/USDT,1669886700000,17088.3,17096.7,17081.0,17094.8,757.279
USDM,BTC/USDT,1669887000000,17094.9,17094.9,17080.9,17088.5,605.662
USDM,BTC/USDT,1669887300000,17088.5,17095.5,17088.3,17089.0,652.032
USDM,BTC/USDT,1669887600000,17089.1,17104.8,17089.0,17097.3,804.068
USDM,BTC/USDT,1669887900000,17097.3,17109.3,17094.5,17106.5,678.445
USDM,BTC/USDT,1669888200000,17106.5,17106.5,17099.1,17099.1,380.704
USDM,BTC/USDT,1669888500000,17099.1,17110.3,17099.1,17106.1,721.794
USDM,BTC/USDT,1669888800000,17106.2,17106.7,17096.9,17106.2,550.395
USDM,BTC/USDT,1669889100000,17106.1,17106.2,17099.6,17104.5,354.571
USDM,BTC/USDT,1669889400000,17104.5,17104.5,17096.0,17099.7,363.546
USDM,BTC/USDT,1669889700000,17099.7,17100.8,17094.1,17094.2,419.75
USDM,BTC/USDT,1669890000000,17094.1,17100.0,17083.0,17086.0,915.516
USDM,BTC/USDT,1669890300000,17086.1,17089.4,17081.1,17083.8,490.369
USDM,BTC/USDT,1669890600000,17083.9,17105.0,17083.9,17089.9,911.12
USDM,BTC/USDT,1669890900000,17089.9,17093.4,17083.1,17090.2,501.538
USDM,BTC/USDT,1669891200000,17090.3,17098.4,17090.2,17097.2,531.048
USDM,BTC/USDT,1669891500000,17097.1,17099.1,17092.2,17098.2,401.27
USDM,BTC/USDT,1669891800000,17098.3,17098.3,17086.2,17091.5,545.107
USDM,BTC/USDT,1669892100000,17091.5,17092.0,17084.4,17087.9,523.855
USDM,BTC/USDT,1669892400000,17087.9,17088.4,17050.0,17069.2,4303.652
USDM,BTC/USDT,1669892700000,17069.1,17081.8,17066.5,17072.3,821.537
USDM,BTC/USDT,1669893000000,17072.3,17076.4,17062.5,17076.3,973.444
USDM,BTC/USDT,1669893300000,17076.3,17084.1,17074.2,17080.0,685.824
USDM,BTC/USDT,1669893600000,17080.1,17082.3,17065.4,17065.5,599.616
USDM,BTC/USDT,1669893900000,17065.5,17065.5,17030.0,17061.0,2939.47
USDM,BTC/USDT,1669894200000,17060.9,17067.1,17057.4,17064.6,741.911
USDM,BTC/USDT,1669894500000,17064.6,17070.9,17061.3,17066.5,959.814
USDM,BTC/USDT,1669894800000,17066.5,17076.8,17066.4,17075.9,521.506
USDM,BTC/USDT,1669895100000,17075.9,17090.0,17072.2,17089.4,1250.421
USDM,BTC/USDT,1669895400000,17089.3,17096.7,17085.7,17095.3,1299.837
USDM,BTC/USDT,1669895700000,17095.3,17099.8,17094.3,17096.9,761.55
USDM,BTC/USDT,1669896000000,17096.9,17114.7,17095.0,17102.7,1939.962
USDM,BTC/USDT,1669896300000,17102.7,17110.4,17096.3,17105.0,1003.633
USDM,BTC/USDT,1669896600000,17105.1,17134.3,17105.0,17119.1,1855.568
USDM,BTC/USDT,1669896900000,17119.1,17150.0,17119.1,17121.8,4095.951
USDM,BTC/USDT,1669897200000,17121.8,17121.9,17104.2,17107.4,1605.174
USDM,BTC/USDT,1669897500000,17107.5,17109.8,17098.0,17108.0,1044.416
USDM,BTC/USDT,1669897800000,17108.1,17139.3,17106.5,17125.9,1937.225
USDM,BTC/USDT,1669898100000,17125.9,17129.0,17113.0,17115.9,969.95
USDM,BTC/USDT,1669898400000,17115.9,17141.6,17115.9,17132.1,983.703
USDM,BTC/USDT,1669898700000,17132.1,17133.2,17110.9,17127.6,1032.714
USDM,BTC/USDT,1669899000000,17127.7,17130.4,17121.5,17121.9,670.171
USDM,BTC/USDT,1669899300000,17121.9,17134.9,17121.9,17130.0,571.326
USDM,BTC/USDT,1669899600000,17130.1,17130.1,17115.1,17122.7,906.874
USDM,BTC/USDT,1669899900000,17122.7,17145.0,17116.9,17143.5,1756.971
USDM,BTC/USDT,1669900200000,17143.5,17143.5,17125.6,17128.0,983.13
USDM,BTC/USDT,1669900500000,17127.9,17128.0,17114.9,17115.0,967.087
USDM,BTC/USDT,1669900800000,17114.9,17129.2,17114.9,17122.4,738.628
USDM,BTC/USDT,1669901100000,17122.5,17135.4,17121.3,17126.0,847.485
USDM,BTC/USDT,1669901400000,17125.9,17348.5,17082.3,17205.9,29792.865
USDM,BTC/USDT,1669901700000,17206.0,17208.7,17123.4,17182.0,7128.686
USDM,BTC/USDT,1669902000000,17182.0,17186.8,17116.2,17125.6,5187.448
USDM,BTC/USDT,1669902300000,17125.5,17125.5,17000.0,17002.0,18396.406
USDM,BTC/USDT,1669902600000,17002.0,17056.0,16960.0,17048.4,10794.725
USDM,BTC/USDT,1669902900000,17048.3,17098.3,17039.9,17082.0,5355.82
USDM,BTC/USDT,1669903200000,17082.1,17082.1,17030.1,17034.7,3987.114
USDM,BTC/USDT,1669903500000,17034.8,17092.9,17031.6,17090.7,2650.162
USDM,BTC/USDT,1669903800000,17090.7,17103.8,17068.4,17074.2,2661.092
USDM,BTC/USDT,1669904100000,17074.1,17075.0,17032.0,17033.4,2210.623
USDM,BTC/USDT,1669904400000,17033.5,17053.9,17020.0,17042.8,4818.821
USDM,BTC/USDT,1669904700000,17042.9,17051.8,17022.1,17026.6,4083.359
USDM,BTC/USDT,1669905000000,17026.5,17070.0,17021.2,17052.3,2900.238
USDM,BTC/USDT,1669905300000,17052.3,17080.8,17050.0,17052.8,1752.889
USDM,BTC/USDT,1669905600000,17052.9,17072.8,17048.8,17062.9,1084.018
USDM,BTC/USDT,1669905900000,17062.9,17088.0,17060.2,17086.5,1632.229
USDM,BTC/USDT,1669906200000,17086.5,17112.4,17082.6,17110.0,2202.675
USDM,BTC/USDT,1669906500000,17110.1,17138.7,17096.8,17099.7,3629.091
USDM,BTC/USDT,1669906800000,17099.7,17137.9,17069.4,17095.1,6370.041
USDM,BTC/USDT,1669907100000,17094.8,17098.4,17057.2,17068.5,1707.704
USDM,BTC/USDT,1669907400000,17068.5,17072.8,16994.4,17008.1,6113.59
USDM,BTC/USDT,1669907700000,17008.1,17025.0,16942.0,16960.6,9888.967
USDM,BTC/USDT,1669908000000,16960.6,16978.5,16919.0,16945.7,7123.671
USDM,BTC/USDT,1669908300000,16945.7,16964.1,16934.2,16942.6,3328.25
USDM,BTC/USDT,1669908600000,16942.5,16959.8,16887.1,16952.4,8467.84
USDM,BTC/USDT,1669908900000,16952.4,16968.8,16945.0,16951.0,2551.14
USDM,BTC/USDT,1669909200000,16950.9,16955.6,16933.7,16939.0,1853.984
USDM,BTC/USDT,1669909500000,16939.1,16963.7,16932.1,16962.8,1740.914
USDM,BTC/USDT,1669909800000,16962.9,16978.2,16958.6,16962.7,1981.902
USDM,BTC/USDT,1669910100000,16962.7,16971.3,16950.2,16970.5,1164.26
USDM,BTC/USDT,1669910400000,16970.5,16973.5,16958.1,16969.9,1480.741
USDM,BTC/USDT,1669910700000,16969.9,16973.8,16950.1,16964.5,1250.472
USDM,BTC/USDT,1669911000000,16964.5,16966.8,16944.3,16944.5,1188.454
USDM,BTC/USDT,1669911300000,16944.5,16944.5,16910.0,16931.4,2337.451
USDM,BTC/USDT,1669911600000,16931.3,16953.1,16931.3,16946.0,1689.995
USDM,BTC/USDT,1669911900000,16945.9,16957.1,16940.0,16945.3,1162.388
USDM,BTC/USDT,1669912200000,16945.3,16963.3,16940.4,16962.7,1271.87
USDM,BTC/USDT,1669912500000,16962.7,16983.9,16957.1,16982.3,2609.351
USDM,BTC/USDT,1669912800000,16982.3,16984.0,16970.4,16983.6,1162.011
USDM,BTC/USDT,1669913100000,16983.7,16991.7,16968.6,16969.3,1743.687
USDM,BTC/USDT,1669913400000,16969.3,16977.3,16961.8,16968.6,908.806
USDM,BTC/USDT,1669913700000,16968.5,16978.6,16967.0,16974.4,539.28
USDM,BTC/USDT,1669914000000,16974.5,16976.0,16958.5,16964.2,1113.337
USDM,BTC/USDT,1669914300000,16964.1,16968.8,16933.3,16942.2,1409.718
USDM,BTC/USDT,1669914600000,16942.3,16952.9,16933.2,16937.4,1339.155
USDM,BTC/USDT,1669914900000,16937.5,16937.5,16922.0,16922.0,1182.699
USDM,BTC/USDT,1669915200000,16922.1,16949.9,16922.0,16949.1,990.506
USDM,BTC/USDT,1669915500000,16949.1,16970.0,16949.0,16962.8,1499.311
USDM,BTC/USDT,1669915800000,16962.7,16982.9,16961.1,16971.0,1109.325
USDM,BTC/USDT,1669916100000,16971.1,16973.3,16965.9,16969.5,419.326
USDM,BTC/USDT,1669916400000,16969.5,16971.8,16963.1,16971.7,453.472
USDM,BTC/USDT,1669916700000,16971.8,16975.0,16957.8,16968.9,577.964
USDM,BTC/USDT,1669917000000,16968.9,16983.5,16968.8,16970.2,680.844
